nome_vaga;empresa;id;nivel_experiencia;data_publicacao;faixa_salario;localizacao;modelo_contrato;beneficios;descricao_vaga
Analista de Controle de Qualidade;Glenmark Farmacêutica Ltda.;204;Pleno;Publicada em 04/10/2024;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Auxílio creche, Auxílio farmácia, Participação nos Lucros ou Resultados, Refeitório;"Conduzir as atividades relacionadas ao Controle de Qualidade de produtos acabados conforme estabelecido nos procedimentos, métodos e especificações, com o objetivo de gerar dados suficientes para assegurar a qualidade final dos produtos comercializados pela empresa.  Principais Responsabilidades: Realizar análise de produtos seguindo procedimentos, especificações e metodologias analíticas estabelecidas, bem como conduzir análises de validação analítica. Preparar e controlar o uso e armazenagem de soluções, reagentes, padrões analíticos ou materiais necessários para os ensaios, bem como contribuir com a limpeza e manutenção dos utensílios, equipamentos e áreas de trabalho, preocupando-se com a higiene e com o cumprimento das normas de segurança. Efetuar cálculos, elaborar relatórios que documentam a análise dos lotes, bem como metodologias, especificações, procedimentos e protocolos de validação. Realizar a revisão dos dados gerados por outros analistas garantindo que os mesmos são atribuíveis, legíveis, contemporâneos, originais e acurados. Auxiliar nas investigações de desvios de qualidade e OOS. Realizar levantamentos e controles dos insumos utilizados pelo laboratório de Controle de Qualidade, incluindo gerenciamento de reagentes controlados. Solicitar compra seguindo os procedimentos internos quando necessário.   Requisitos necessários: Formação em Farmácia ou Química Inglês Intermediário (Leitura e Escrita) Experiência na área Controle de Qualidade  Local de Trabalho: Osasco/SP - modo presencial Inglês - Nível Intermediário Desejável conhecimento em análises de produtos respiratórios; Experiência em HPLC e análises de bancada."
Analista de Soluções de Mídia;CONVERGINT;205;Pleno;Publicada ontem;a combinar;Rio de Janeiro;Regime CLT;Assistência médica, Assistência odontológica, Seguro de vida, Vale-alimentação, Vale-refeição, Vale-transporte;"▪ Entendimento da cultura globo e aderência aos pilares principais desta cultura; ▪ Ser um entusiasta por tecnologia com ênfase as soluções aplicadas na indústria de Mídia & Entretenimento; ▪ Conhecimento no processo de distribuição do conteúdo multiplataforma; ▪ Conhecimentos em redes de dados, Computing, Storage, Virtualização, Banco de Dados; ▪ Conhecimento prático e comprovada com sistemas de MAM/PAM, Acervo, Newsroom Management; transcoding e conversão de formatos; ▪ Conhecimento em codecs de video: XDCAM, MPEG; HEVC; PRORES; XAVC; ▪ Conhecimento técnico em ferramentas de edição: Avid Media Composer; Adobe Premiere, ProTools, pacote Adobe e Autodesk; ▪ Melhores práticas e padrões de arquitetura de softwares ▪ Avaliação de soluções existentes no mercado junto aos recursos técnicos da squad; ▪ Condução de fornecedores e equipes técnicas na realização de POC’s, implantações/comissionamentos sistêmicas; ▪ Atuar na identificação riscos e elaborar estratégias de mitigação; ▪ Garantir a qualidade técnica da execução do projeto/produto junto aos respectivos interlocutores ▪ Atendimento a chamados de suporte (sustentação) oriundo das linhas de serviço da globo; "
Analista Segurança Empresarial Pl;bp bioenergy;206;Pleno;Publicada há 6 dias;a combinar;São José do Rio Preto;Regime CLT;Assistência médica, Assistência odontológica, Auxílio farmácia, Cesta de natal, Participação nos Lucros ou Resultados, Previdência privada;Principais Responsabilidades:  Requisitos Necessários:   Desejável:   Possuir Habilidades como:   
Analista de Desenvolvimento de Parcerias;Fundação Dom Cabral;207;Pleno;Publicada em 20/09/2024;a combinar;Não informado;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio combustível, Auxílio farmácia, Auxílio fretado;" #VempraFDC A FDC é uma organização comprometida com a transformação da sociedade por meio da educação e reconhecida como uma das melhores escolas de negócios do mundo. Para nós, a educação é uma jornada de desenvolvimento, com foco em uma narrativa mais inclusiva e sustentável. Um caminho para a transformação dos indivíduos, das equipes, das organizações e da Sociedade. Valorizamos a diversidade e acreditamos que um time plural é imprescindível para o desenvolvimento da nossa organização e da1 Sociedade. Entendemos que cada indivíduo é único na construção de um ambiente mais inovador e inclusivo. Incentivamos fortemente a inscrição de mulheres, de pessoas negras, de pessoas com deficiência e de pessoas LGBTQIA+. O que você vai realizar: • Apoiar a execução da estratégia da área de captação de recursos; • Manter dados dos parceiros e prospects atualizados na base de dados; • Elaborar relatórios periódicos de acompanhamento das parcerias; • Realizar o acompanhamento financeiro sobre as propostas e contratos em andamento; • Alimentar sistemas, planilhas ou qualquer base de dados necessária para registro das tarefas sob sua responsabilidade; • Fornecer suporte na gestão dos contratos; • Manter a interface com a área de Comunicação a fim de participar da elaboração e do desenvolvimento de campanhas de captação de recursos; • Contribuir ativamente na melhoria de processos da área; • Prospectar parceiros para as diferentes frentes de captação de recursos: nacionais ou internacionais; • Monitorar a prospecção de potenciais parceiros, por meio de indicadores preestabelecidos, e apresentar relatórios periódicos a gerência; • Assegurar a realização de todas as tarefas relacionadas à submissão das propostas para captação de fundos, incluindo orçamentos, garantindo a qualidade e o cumprimento dos prazos. O que estamos buscando: • Graduação completa; • Domínio do pacote office; • Excel avançado; • Inglês avançado; • Conhecimento em ferramentas de CRM (Customer Relationship Management); • Desejável conhecimento em Power BI. O que você pode esperar de nós: Somos uma instituição que respeita e valoriza a diversidade humana, e proporcionamos um ambiente ético, desafiador, dinâmico, aberto ao diálogo, à construção coletiva e à aprendizagem contínua. Se esses valores são relevantes para você, junte-se ao nosso time! Horário de trabalho: 08h30 às 17h30, com 1h de intervalo. Local de trabalho: Campus Aloysio Faria, Alphaville - Nova Lima / MG. Modelo de trabalho: Híbrido.     Inglês - Nível Avançado"
Analista de Planejamento de Demanda;UAUIngleza;208;Júnior/ Trainee;Publicada em 26/09/2024;a combinar;Santa Luzia;Regime CLT;; Nosso principal objetivo é estar presente nos melhores momentos do seu dia a dia. Seja perfumando o seu lar, produzindo grandes memórias, trazendo proteção e experiências inesquecíveis.
Analista Intelligence Junior - Marketing;Confidencial;209;Júnior/ Trainee;Publicada em 03/10/2024;R$ 4.000 a R$ 4.300;São Paulo;Regime CLT;;
Analista Departamento Pessoal Pl.;Confidencial;210;Pleno;Publicada há 2 dias;R$ 3.900;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Participação nos Lucros ou Resultados, Seguro de vida, Vale-alimentação;ATIVIDADES:  • Atualizar e conferir afastamentos, descontos, admissões, férias, rescisões, alterações salariais, pensões e demais dados pertinentes a folha de pagamento. • Gerar e enviar relatórios financeiros, guias (FGTS, INSS, DARF, Sindicato) e eventos ao E-Social. • Garantir conformidade com exigências legais e sindicais.    REQUISITOS:     
Analista de Departamento Pessoal;ERG Engenharia;211;Pleno;Publicada em 14/10/2024;a combinar;Belo Horizonte;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio desenvolvimento, Desconto em produtos, Seguro de vida;
Analista de Informações Gerenciais Jr;SulAmérica;212;Júnior/ Trainee;Publicada ontem;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio creche, Participação nos Lucros ou Resultados, Previdência privada;O que um Analista de Informações Gerenciais Jr faz na SulAmérica? 
Analista de Gestão de Contratos Pleno;Confidencial;213;Pleno;Publicada em 11/10/2024;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Auxílio combustível, Auxílio creche, Auxílio desenvolvimento, Auxílio farmácia;"Empresa de grande porte líder de mercado no segmento de Assistência 24 horas.  Principais responsabilidades:  1. Criar dashboards para os indicadores da área, por meio da utilização das ferramentas Power BI e Excel visando a automatização e rápida atualização dos indicadores; 2. Analisar os indicadores financeiros da companhia, por meio da clusterização de coberturas vigentes e tipos de serviços e entendimento das variações visando a detecção de oportunidades com diagnósticos e conclusões; 3. Realizar a projeção de indicadores e resultados financeiros, mediante análises de dados visando quantificar tendências e detectar riscos ao negócio; 4. Realizar análises de rentabilidade de contratos no mesmo nível da precificação, por meio da interface com as áreas envolvidas no processo visando rápido ajuste de premissas nos casos de desvios; 5. Identificar oportunidades de ganho de eficiência, mediante demandas pontuais ou sempre que identificar desvios não previstos em indicadores relevantes ao negócio; 6. Realizar a clusterização de clientes, por meio de análises de dados visando a evolução de serviços e modelos de precificação. Conhecimentos Técnicos: • Excel avançado; • Power BI; • Power Point intermediário para apresentações executivas;  Competências e Habilidades Comportamentais: • Perfil maduro e dinâmico; • Bom posicionamento para reportar o trabalho com firmeza e segurança com qualquer hierarquia da empresa; • Perfil negociador, sensato, e de ótima comunicação e relacionamento interpessoal; • Expertise em gestão de contratos de novos negócios;"
Analista de Planejamento Financeiro Jr.;AGEO Terminais e Armazéns Gerais;214;Júnior/ Trainee;Publicada em 10/10/2024;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Cesta de natal, Consignado, Participação nos Lucros ou Resultados, Seguro de vida;Responsabilidades: 1. Desenvolver e manter modelos financeiros para previsão financeira, análise de investimentos, valuation e outros fins estratégicos. 2. Realizar análises detalhadas de dados financeiros e operacionais para identificar tendências, padrões e oportunidades de melhoria. 3. Apoiar na elaboração de relatórios financeiros mensais, trimestrais e anuais, incluindo análise de desempenho, variações orçamentárias e projeções financeiras. 4. Colaborar com as equipes de operações, vendas e finanças para entender os requisitos de modelagem financeira e fornecer recomendações baseadas em dados. 5. Apoiar na estrutura do orçamento anual, o forecast de resultado mensal e a projeção/controle do fluxo de caixa das empresas do grupo. 6. Participar na avaliação mensal dos resultados (DRE) – Realizado x Orçado, elaborando minutas, identificando variações significativas e contribuindo para a indução 7. Realizar cotações de seguros para diversos ativos e operações da empresa, garantindo uma cobertura adequada e custos otimizados. 8. Auxiliar na estruturação a dívida da empresa de forma eficiente, considerando diferentes instrumentos financeiros e estratégias de mitigação de riscos. 9. Fornecer suporte na preparação de documentos para reuniões de liderança e apresentações para investidores externos.  Requisitos: 1. Cursando Finanças, Contabilidade, Economia ou área relacionada. 2. Conhecimento em modelagem financeira, valuation e estruturação de dívida. 3. Excelente conhecimento em Microsoft Excel e outras ferramentas de análise financeira. 4. Conhecimento dos princípios contábeis e financeiros, bem como das melhores práticas de planejamento financeiro e avaliação de investimentos.  Inglês - Nível Intermediário
Analista Administrativo Energia;Bom Futuro;215;Pleno;Publicada em 04/10/2024;a combinar;Cuiabá;Regime CLT;; Com mais de 30 anos de atuação no Estado de Mato Grosso, a Bom Futuro desenvolve o planejamento estratégico das atividades na capital Cuiabá/MT, sede da empresa. As atividades são distribuídas em todo o estado, gerando desenvolvimento e inúmeras oportunidades para centenas de municípios.  A Bom Futuro é advinda da agricultura. A expertise na área, auxílio da tecnologia e respeito ao meio ambiente aliadas à persistência e muito trabalho, pautaram o crescimento da empresa em seus longos anos de atividade. Ações como essas garantiram o destaque mundial em produtividade sustentável, possibilitando a atuação em 7 áreas: agricultura, pecuária, piscicultura, sementes, energia, aeroportuário e imobiliário. A determinação e competência profissional de seus mais de sete mil colaboradores, norteados pela ideologia e a vertente empreendedora da empresa, possibilitaram a atuação da Bom Futuro em diversas áreas, porém todas com o mesmo propósito: ajudar a alimentar e vestir o mundo! 
Analista de Planejamento Ssr;Confidencial;216;Sênior;Publicada hoje;R$ 10.000 a R$ 10.070;São Paulo;Temporário;;
Analista de Treinamento e Desenvolvimento;NORTEARH - PESSOAS, ORGANIZAÇÕES E NEGÓCIOS LTDA;217;Sênior;Publicada em 26/09/2024;a combinar;Belo Horizonte;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio creche, Auxílio desenvolvimento, Convênio com empresas parceiras;Atribuições: - O profissional irá desenvolver e implementar programas de treinamento. - Monitorar e avaliar a efetividade dos programas, interagindo com stakeholders internos da empresa. Avaliar os resultados e apresentar planos de ação de melhorias sempre que aplicáveis. - Identificar potenciais fornecedores de treinamento e parceiros externos que possam atender às necessidades da organização. - Desenvolver conteúdos e materiais de treinamento. - Manter programas de integração para novos colaboradores. - Atuar como facilitador em workshops, palestras e treinamentos. - Acompanhar indicadores da área, analisar dados e gerar relatórios.  Requisitos: Experiência anterior com treinamento e desenvolvimento. Graduação na área de Recursos Humanos, Psicologia ou áreas relacionadas. Excel intermediário/avançado 
Analista de Planejamento Financeiro Sênior;Pacaembu Construtora;218;Sênior;Publicada em 16/10/2024;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Cesta de natal, Participação nos Lucros ou Resultados, Seguro de vida;"Monitorar e analisar os resultados dos principais Indicadores Financeiros da empresa, projetados mensalmente, garantindo a qualidade e assertividade das informações e da curva de crescimento estipulado pela empresa; Compilar os dados mensais, para montagem das planilhas de orçado x realizado; Consolidar e analisar indicadores; Elaborar cenários e realizar impacto de desempenho nos resultados projetados consolidados; Cobrar justificativas e entendimentos das possíveis distorções; Analisar e divulgar o Painel de Assertividade a todos os departamentos envolvidos; Adequar no formato de base os arquivos recebidos, além de analisar possíveis divergências. Superior completo em Ciência Contábeis, Economia, Administração de Empresas, Finanças ou áreas correlatas; Imprescindível ter a habilidade em Microsoft Excel nível avançado; Diferencial: Criação de dashboards em Microsoft Power BI."
Analista de Operações Portuárias;TGG;219;Sênior;Publicada há 2 dias;a combinar;São Paulo;Regime CLT;; Fundado em 2002 e em operação desde fevereiro de 2007, o Terminal de Granéis do Guarujá S.A. – TGG atua como terminal portuário para recepção, armazenagem e embarque de granéis sólidos. A iniciativa dirigida pelas empresas Rumo, Amaggi e Bunge, se torna um diferencial para as exportações de granéis sólidos (commodities brasileiras) devido à sua estrutura diferenciada capaz de movimentar 9 milhões de toneladas/ano. Planejado da terra para o mar, o TGG viabilizou o transporte ferroviário da região Centro-Oeste, que era atendida predominantemente pelo modal rodoviário. Localizado na margem esquerda do Porto Organizado de Santos, o TGG ocupa uma área de 340 mil metros quadrados.
Analista de Planejamento Logistico;Confidencial;220;Júnior/ Trainee;Publicada em 27/09/2024;R$ 6.692;Rio de Janeiro;Regime CLT;Vale-refeição;Atividades desenvolvidas e Experiencias necessárias:  Inglês - Nível Básico 
Analista de Inteligência de Mercado Sr.;LUKSNOVA;221;Sênior;Publicada há 3 dias;a combinar;São Paulo;Regime CLT;Assistência médica, Café da manhã, Consignado, Desconto em produtos, Participação nos Lucros ou Resultados, Restaurante interno;O profissional atuará diretamente no desenvolvimento de estratégias, monitorando flutuações do mercado e oferecendo insights estratégicos para tomada de decisões.  Principais Responsabilidades:  • Apoiar na definição de precificação de produtos e commodities de acordo com as movimentações do mercado.  • Analisar tendências de mercado e comportamento da concorrência para sugerir estratégias competitivas.  • Trabalhar com dados de Business Intelligence (BI), realizando análises e relatórios que suportem decisões estratégicas.  • Colaborar com diferentes áreas para otimização de resultados e alinhamento das estratégias de marketing e precificação.  • Acompanhar indicadores-chave de desempenho (KPIs) relacionados ao mercado de commodities e matéria-prima.   Requisitos:
Analista de Jornada CRM;Liga Consultoria;222;Pleno;Publicada em 25/09/2024;a combinar;São Paulo;Regime CLT;Assistência médica, Vale-refeição, Vale-transporte;"  Sobre a empresa  Conheça mais sobre a Central da Visão: https://centraldavisao.com.br/quem-somos/  Entenda o modelo de negócios da CdV: https://www.youtube.com/watch?v=pwKi2TgyM7o    Atividades:  Principal objetivo do analista de Jornadas será otimizar nossos canais de contato com os clientes refletindo as melhores jornadas para os nossos diversos público mapeando as interações de acordo com o canal, perfil e contexto de cada grupo.    Estudar e aplicar melhorias em interfaces conversacionais. Pensando como um UX Design, interagindo com áreas de negócios e equipe técnica; Atualizar e criar novos fluxos de jornada usando a ferramenta BLIP; Criação de Personas para o atendimento: Descrição (Infopersona), amostras (diálogos de atendimento e não atendimento), mapa de persona/empatia; Desenvolver protótipos funcionais: Figma, XD, Xmind, ou outras ferramentes de Wireframes; Validação e acompanhamento do desenvolvimento de jornadas; Apresentação para os times internos de benchmark, avaliação de heurísticas e estudos; Acompanhamento de testes de usabilidade e focus groups; Criar planilhas navegáveis com a Especificação funcional da interface; Preparar relatórios dos testes de usabilidade; Preparar relatórios detalhados da navegação dos clientes e demais KPIs de acompanhamento.    Competências necessárias:  Conhecimento de jornada de clientes por WhatsApp    User Experience (UX): Habilidade em projetar experiências de usuário centradas nas necessidades e desejos dos usuários, garantindo que as interações sejam fluidas e satisfatórias. Protótipos de Conversa: Experiência com ferramentas específicas para prototipagem de fluxos de conversa. Análise de Dados: Capacidade de analisar dados de interações anteriores para otimizar o design conversacional e melhorar a experiência do usuário. Conhecimento em IA e Machine Learning: Entendimento básico de como as tecnologias de inteligência artificial e machine learning podem ser aplicadas no design de sistemas conversacionais. Comunicação: Capacidade de escrever diálogos claros, naturais e coerentes, adaptando o tom e o estilo ao público-alvo. Atenção aos Detalhes: Cuidadosa revisão dos fluxos de conversa para evitar ambiguidades e garantir que todas as possíveis interações do usuário sejam consideradas e que a conversa não fique repetitiva.    Diferencial:  Conhecimento em IA e Machine Learning: Entendimento básico de como as tecnologias de inteligência artificial e machine learning podem ser aplicadas no design de sistemas conversacionais.  "
Analista de Marketing Digital Sr.;OSKLEN;223;Sênior;Publicada em 22/08/2024;a combinar;Rio de Janeiro;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Convênio com empresas parceiras, Desconto em produtos, Horário flexível;"Atividades: Briefing e acompanhamento de resultados de mídia e social orgânico; Auxílio no desenvolvimento de estratégias para calendário de campanhas AON e AWS para cada rede (Tik Tok, Pinterest, Spotify, entre outros); Participar do mapeamento e construção estratégica da entrada em novas redes; Monitorar métricas de desempenho e gerar relatórios para avaliar o sucesso das estratégias; Utilizar insights de dados para otimizar e ajustar as estratégias digitais; Análise da concorrência no ambiente digital; Análise de performance, métricas e desenvolvimento de relatórios das campanhas e ações digitais e influenciadores parceiros; Análise de KPIS e produção de relatórios para recomendar ajustes em campanhas, identificar comportamento do consumidor e oportunidade de negócios e tendência do mercado; Interface com e-commerce e canais digitais, com diagnóstico de melhorias e suporte em ações que fortaleçam a imagem da marca na esfera digital, alinhados com brand guidance; Suporte e insights para estratégias que visam aumentar o engajamento e a interação com a comunidade online.  Requisitos necessários: Experiência em estratégia de mídia para campanhas em plataformas digitais (Google Ads, Meta Ads, Tik Tok, etc); Conhecimento do processo de criação de briefings de campanha com pesquisa de concorrência; Conhecimento e vivência em ferramentas de análise da dados (Google Analytics); Acompanhamento constante do universo de mídias digitais, plataformas e tendências (mercado, comportamento, gerações, moda, forma de publicidade, etc); Domínio de ferramentas de monitoramento e gestão de comunidade; Inglês intermediário/avançado; Conhecimento das ferramentas do IOS.  Requisitos desejáveis: Oriundo do segmento de Moda de Luxo; Conhecimento básico em SEO.  Formação: Graduação Completa - Ideal Marketing, Publicidade, Propaganda, Comunicação ou afins.  Horário: De segunda a sexta, 8:30h por dia – horário flexível (Formato híbrido, sendo terça, quarta e quinta presencial – Rio Comprido/RJ). Inglês - Nível Intermediário Promovemos Diversidade e Inclusão em nossos processos seletivos, incentivando a candidatura sem discriminação de raça, etnia, religião, cor, sexo, idade, deficiência, nacionalidade, orientação sexual, identidade ou expressão de gênero."
Analista de Implantação de Franquias;Cultura Inglesa;224;Pleno;Publicada em 09/10/2024;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Vale-refeição, Vale-transporte;"Estamos em busca de um Analista de Franquias para se juntar à nossa equipe. Se você é apaixonado por franquias e tem experiência na área, essa vaga é para você!  Responsabilidades: Adaptação de Processos: Necessidade de adaptar os processos da franquia às especificidades de cada nova unidade, garantindo que os padrões da marca sejam mantidos.  Treinamento e Capacitação: Responsabilidade por treinar novos franqueados e suas equipes, assegurando que todos estejam alinhados com os valores e operações da franquia.  Gestão de Cronogramas: Controle rigoroso de prazos e cronogramas de implantação, garantindo que todas as etapas sejam cumpridas dentro do tempo previsto. Prestar suporte e orientação aos franqueados;  Resolução de Problemas: Habilidade para identificar e resolver problemas que possam surgir durante o processo de implantação, minimizando impactos negativos.  Comunicação Eficiente: Necessidade de interagir com diversas partes interessadas, como franqueados, fornecedores e equipe interna, mantendo uma comunicação clara e eficaz.  Análise de Mercado: Avaliação contínua do mercado local para garantir que as implantações sejam viáveis e estejam alinhadas com as expectativas de crescimento da franquia. Desenvolver estratégias para o crescimento das unidades franqueadas;  Acompanhamento de Resultados: Monitoramento dos resultados iniciais das novas unidades, oferecendo suporte e sugestões para melhorias quando necessário. Elaborar relatórios e apresentações sobre o desempenho das franquias. Realizar análises de desempenho das franquias;  Se você se encaixa nesse perfil, clique no botão ""Candidate-se"" e envie seu currículo. Estamos ansiosos para conhecer você! Inglês - Nível Intermediário - Experiência com franquias;  - Conhecimento em análise de dados e indicadores de desempenho;  - Boa comunicação e habilidades de relacionamento interpessoal;  - Formação em Administração, Marketing ou áreas relacionadas.  Experiência em implantação de franquias  Compreensão das leis e regulamentos relacionados a franquias.  Conhecimento das melhores práticas e modelos de negócios de franquia.  Habilidade em oferecer suporte técnico e operacional para franqueados durante a implantação.  Capacidade de realizar pesquisas de praça para identificação dos melhores locais para os imóvies  Habilidade em oferecer suporte técnico e operacional para franqueados durante a implantação.  Capacidade de realizar projeções financeiras e análise de viabilidade e DRE  Capacidade de negociar contratos e acordos com franqueados e fornecedores.  Habilidade em utilizar ferramentas de análise de dados (ex.: Excel, Power BI).  Capacidade de colaborar com diferentes equipes e franqueados para alcançar objetivos comuns."
Analista de Suporte Técnico;Confidencial;225;Técnico;Publicada há 6 dias;a combinar;Campinas;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio estacionamento, Auxílio farmácia, Programa de treinamentos;Transportar, carregar, paletizar, embalar, classificar e distribuir - o BEUMER Group desenvolve e produz sistemas intralogísticos líderes de tecnologia para o mercado mundial. O conhecimento excepcional e a necessidade de se desenvolver continuamente são as marcas registradas de nossos colaboradores. Nós impulsionamos esses objetivos proporcionando uma estrutura familiar, marcada pela valorização mútua e uma cultura de confiança, que gera estabilidade e segurança. Nosso objetivo conjunto: implementação de projetos excepcionais e inovadores.   Explore conosco novos caminhos!  O profissional nesta posição será responsável por:   Use seu talento de forma diferenciada!  Esperamos que você tenha:   Alguns benefícios para você aproveitar a jornada com a gente!  Você pensa como nós e gostaria de fazer parte da nossa empresa de sucesso? Candidate-se!  #CareerMadeDifferentPoweredByYou   Inglês - Nível Intermediário 
Analista de Planejamento de Demanda Pleno;Confidencial;226;Pleno;Publicada há 6 dias;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Desconto em produtos, Participação nos Lucros ou Resultados, Refeitório, Seguro de vida;Inglês - Nível Avançado e Espanhol - Nível Fluente 
Auxiliar de Atendimento Logístico | CNH a (Moto);Stone;227;Auxiliar/ Operacional;Publicada em 27/09/2024;a combinar;Feira de Santana;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio creche, Cesta de natal, Convênio com empresas parceiras;"O time de Logística: A Logística é um ponto-chave na nossa missão de encantar o(a) cliente. Afinal, para atingir o objetivo de transformar o mercado de meios de pagamento, é preciso pensar em cada detalhe. Nossa missão é garantir o melhor e mais rápido atendimento do país. Para atingir esse objetivo, nossa área é responsável por atuar em toda cadeia logística (Supply, Sistemas, Last Mile, Gente e Segurança), colocando a mão na massa desde as compras das maquininhas até a sua efetiva entrega para nossos(as) clientes. Conheça um pouco mais do time de Logística no Nosso Manifesto.  Como é ser um(a) Auxiliar de Atendimento Logístico | GREEN ANGEL (Moto): Conhecido como Green Angels, esse time tem a missão de realizar o atendimento do(a) nosso(a) cliente diretamente em seu ponto de venda. A sua atividade principal é atender nossos(as) usuários(as) de maneira externa, tanto dentro da cidade como nas regiões de abrangência, ajudando-os na inicialização e utilização correta dos produtos que contratou conosco. Além disso, você também será o responsável pelas atividades realizadas no polo onde irá atuar, realizando a gestão do estoque, recebimento de ativos, logística reversa, triagem dos equipamentos, organização e inventários periódicos do estoque. Conheça um pouco mais do(a) Green Angel aqui.  O que esperamos de você: CNH A ou AB (Moto) ativa por pelo menos 2 anos; Ensino Médio completo.  O que aumenta as suas chances: Ter concluído ou estar cursando Técnico ou Ensino Superior em Logística, Administração, Engenharias e afins. Experiência com atendimento ao cliente. Experiência com Logística. Excel intermediário/avançado.  Jornada de Trabalho: CLT: 44 horas semanais com, no mínimo, 1h de intervalo diário | Escala: 6x1 ( Segunda-feira a Sábado)  #Segurança - Para garantir a nossa segurança e a de terceiros, trabalhamos seguindo à risca as regras e leis de trânsito, falamos no mínimo duas vezes por semana sobre segurança e analisamos indicadores que nos orientam a mapear ocorrências e fazer melhorias na operação.  Nossos Benefícios: 🩺 Plano de Saúde e Odontológico 🏥 Hospital Digital, da Vitta: contamos com uma equipe médica multidisciplinar, terapeutas e um time de saúde disponível 24 horas por dia 7 dias por semana de forma rápida e prática 🥗 Vale Refeição e/ou Vale Alimentação - Sodexo 💪 Gympass 👶 Auxílio Creche - para crianças até 5 anos e 11 meses 💚 Seguro de Vida 🚗Vale Transporte (exclusivo para vagas presenciais) 🌴Convênio SESC 💰Salário Fixo + Remuneração Variável + PLR (quando preenchidos os requisitos) ➕30% de adicional por periculosidade em cima do salário fixo, apenas em caso de uso de motocicleta ✏ Benefício Educação - Plataforma interna com acesso a diversos livros, podcasts, treinamentos e video aulas (Studa e Biblioteca StoneCo)  Ferramentas de Trabalho: 📱Celular corporativo 🚗Veículo da cia (carro ou moto) 👷🏾EPI (Equipamentos de Proteção Individual) *As ferramentas acima são para uso exclusivo da operação logística.  E aí? Curtiu? Então, não deixa de se inscrever e #VemSerStone 💚🚀  Aqui na Stone Co., valorizamos e procuramos as melhores pessoas para nos ajudar a melhorar a vida das pessoas empreendedoras do Brasil. Nosso sonho é do tamanho do universo e, se você se identifica com o nosso propósito, venha construí-lo com a gente! Caso queira saber mais:   Vem conhecer como começamos e o nosso propósito no YouTube. Temos vários artigos, cursos e vídeos para o seu desenvolvimento no nosso Blog. E pra ficar por dentro de todas as novidades, é só nos seguir no Twitter e Instagram. Confira aqui as diretrizes do nosso Código de Ética. "
Assistente Administrativo;Moto Clube;228;Auxiliar/ Operacional;Publicada em 08/10/2024;a combinar;Feira de Santana;Regime CLT;;" A Moto Clube é um grupo de concessionárias autorizadas Honda de Motocicletas na Bahia, fundada em setembro de 2000, hoje o grupo conta com 7 unidades mais capilaridades em outros 81 municípios do Estado.  Somos um refúgio para aqueles que buscam emoção, aventura e pura paixão por motocicletas. Aqui, o rugido dos motores se une ao bater acelerado dos corações, criando uma sinfonia de liberdade e emoção. Estamos aqui para transformar seus sonhos em realidade e levá-lo a uma jornada única e extraordinária. Cada moto Honda em nosso showroom é mais do que uma máquina simples; é um veículo de expressão, que lhe permite contar sua história pelas estradas do mundo.  Na Moto Clube Honda, nos comprometemos em oferecer a melhor experiência aos nossos clientes. Nossa equipe dedicada de profissionais está pronta para ajudá-lo em todas as etapas do processo, desde a escolha da moto ideal até a conclusão de tudo. Com nosso conhecimento especializado e anos de experiência no mercado, estamos aqui para orientá-lo e garantir que você faça a escolha certa.  "
Assistente Administrativo;Rede Mater Dei de Saúde;229;Auxiliar/ Operacional;Publicada em 11/10/2024;a combinar;Feira de Santana;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Vale-alimentação, Vale-refeição, Vale-transporte;
Analista de Treinamento I - Unifacs;UNIFACS;230;Júnior/ Trainee;Publicada em 15/07/2024;a combinar;Bahia;Regime CLT;; Fundada em 1972, a UNIFACS é integrante do maior e mais inovador ecossistema de qualidade do Brasil: o Ecossistema Ânima. A Instituição oferta formação em todas as áreas do conhecimento. A universidade tem mais de 50 anos de investimentos constantes em educação e atenção às demandas sociais, na Bahia. Uma das principais instituições de ensino superior no Nordeste, também tem mais de 15 anos de atuação em Feira de Santana. A UNIFACS também contribui para democratização do Ensino Superior ao disponibilizar uma oferta de cursos digitais com diversos polos dentro e fora do estado. São mais de cinco décadas de muitas realizações e a universidade acredita que, nas próximas décadas, é possível fazer muito mais na Bahia e com a Bahia.  
